column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS,J18301354-4555101,18:30:13.54,-45:55:10.1,"6,70853220816598E+018",4765,1.20,1.95,-3.57,100,0.20,0.20,0.10,Pl20,4990,1.73,92,0.08,0.69,-3.57,,-1.26,-1.64,-1.09,,,-1.20,,-1.43,,,,,-1.04,-2.13,-1.57,-2.36,-1.91,-2.16,-2.36,-2.00,,-1.95,-2.60,-2.15,-2.85,-2.46,,,,,0.10,,0.20,0.20,0.25,,,0.25,,0.25,,,,,0.15,0.20,0.20,0.30,0.20,0.30,0.20,0.25,,0.20,0.20,0.20,0.25,0.25,,,,,Pl20,,Pl20,Pl20,Pl20,,,Pl20,,Pl20,,,,,Pl20,Pl20,Pl20,Pl20,Pl20,Pl20,Pl20,Pl20,,Pl20,Pl20,Pl20,Pl20,Pl20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,115444,13:16:42.46,+36:22:52.7,"1,47445574866304E+018",4720,1.50,1.70,-2.85,100,0.20,0.20,0.15,Ho04,4872,1.68,90,0.07,0.66,-2.85,,0.05,-0.86,-0.05,,,,,-1.06,,,,,-0.49,-1.53,-1.10,-1.49,-1.06,-1.24,-1.67,-1.10,-2.29,-1.07,,-1.26,-2.18,-1.46,,,,-1.97,0.15,,0.11,0.08,0.17,,,,,0.11,,,,,0.11,0.05,0.10,0.11,0.06,0.19,0.10,0.21,0.11,0.09,,0.09,0.11,0.11,,,,0.15,Ho04,,Ho04,Ho04,Ho04,,,,,Ho04,,,,,Ho04,Ho04,Ho04,Ho04,Ho04,Ho04,Ho04,Ho04,Ho04,Ho04,,Ho04,Ho04,Ho04,,,,Ho04,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,186478,19:45:14.14,-17:29:27.1,"6,87146547333211E+018",4525,0.85,2.00,-2.40,100,0.30,0.30,0.16,J02a,4756,1.46,90,0.07,0.52,-2.60,,0.49,-0.52,0.37,,,,,-0.67,-1.34,,,,-0.55,-1.38,-1.15,,-0.96,-1.30,-1.56,-1.06,,-1.12,,-1.15,,-1.33,,,,,0.16,,0.30,0.12,0.06,,,,,0.25,0.25,,,,0.22,0.09,0.11,,0.11,0.12,0.08,0.15,,0.10,,0.06,,0.27,,,,,J02a,,J02b,J02b,J02b,,,,,J02b,J02b,,,,J02b,J02a,J02a,,J02a,J02a,J02a,J02a,,J02a,J02a,J02a,,J02a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,6268,01:03:18.17,-27:52:50.0,"5,03396057583727E+018",4600,1.00,2.10,-2.63,100,0.20,0.20,0.11,Ho04,4824,1.51,91,0.07,0.52,-2.63,,0.32,-0.62,0.11,,,,,-0.98,,,,,-0.45,-1.32,-0.88,-1.54,-0.89,-1.27,-1.59,-1.01,-2.15,-1.00,,-1.20,-2.22,-1.33,,,,-1.93,0.11,,0.33,0.06,0.20,,,,,0.17,,,,,0.17,0.05,0.11,0.17,0.08,0.21,0.10,0.17,0.17,0.14,,0.13,0.07,0.17,,,,0.10,Ho04,,Ho04,Ho04,Ho04,,,,,Ho04,,,,,Ho04,Ho04,Ho04,Ho04,Ho04,Ho04,Ho04,Ho04,Ho04,Ho04,,Ho04,Ho04,Ho04,,,,Ho04,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,108317,12:26:36.83,+05:18:09.0,"3,70808888147749E+018",5100,2.67,1.50,-2.37,150,0.30,0.20,0.10,Ro12,5351,2.83,95,0.07,0.48,-2.37,1.28,0.48,-0.42,0.45,-0.86,-0.05,-0.04,-0.84,-0.67,-1.34,-1.15,,0.06,-0.32,-1.12,-0.68,-0.90,-0.71,-1.05,-1.37,-0.82,-1.30,-0.75,-1.50,-0.94,-1.80,-1.13,,-0.68,-0.46,-1.99,0.22,0.42,0.19,0.20,0.20,0.19,0.28,0.16,0.27,0.18,0.21,0.46,,0.30,0.19,0.17,0.17,0.23,0.18,0.20,0.18,0.19,0.29,0.18,0.20,0.18,0.19,0.22,,0.36,0.19,0.21,Ro12,Ro14,Ro12,Ro12,Ro12,Ro12,Ro14,Ro12,Ro12,Ro12,Ro12,Ro14,,Ro14,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro14,,Ro14,Ro12,Ro12,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,160617,17:42:49.32,-40:19:15.5,"5,95769860553083E+018",5950,3.90,1.30,-1.78,200,0.35,0.35,0.20,RL12,6233,3.91,106,0.07,0.44,-1.77,1.56,1.22,0.25,1.05,,0.61,0.59,,-0.07,-0.89,-0.03,0.38,0.67,0.44,-0.36,0.06,,-0.03,-0.45,-0.81,-0.30,,-0.20,,-0.35,,-0.42,,,,,0.29,0.21,0.30,0.30,0.30,,0.14,0.10,,0.22,0.28,0.23,0.10,0.32,0.30,0.30,0.30,,0.30,0.33,0.29,0.30,,0.29,,0.30,,0.33,,,,,RL12,RL12,RL12,RL12,RL12,,RL12,RL12,,RL12,RL12,RL12,Pe20,RL12,RL12,RL12,RL12,,RL12,RL12,RL12,RL12,,RL12,,RL12,,RL12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD,+08째2856,14:23:58.17,+08:01:33.3,"1,17573128993761E+018",4550,0.70,2.20,-2.00,100,0.30,0.30,0.19,J02a,4651,1.30,89,0.08,0.43,-2.11,,0.78,-0.19,0.65,,,,,-0.36,-0.80,,,,-0.07,-0.96,-0.65,-1.61,-0.45,-0.90,-1.16,-0.85,-1.84,-0.46,,-0.81,-1.71,-0.82,,,,,0.19,,0.30,0.15,0.09,,,,,0.25,0.25,,,,0.24,0.09,0.11,0.13,0.12,0.11,0.06,0.22,0.17,0.12,,0.09,0.06,0.30,,,,,J02a,,J02b,J02b,J02b,,,,,J02b,J02b,,,,J02b,J02a,J02a,J02a,J02a,J02a,J02a,J02a,J02a,J02a,,J02a,J02a,J02a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,84937,09:48:56.10,+13:44:39.3,"6,15943806835728E+017",6300,4.00,1.30,-2.25,50,0.10,0.30,0.15,Pe20,6476,4.15,111,0.07,0.38,-2.25,1.23,1.04,-0.03,0.65,,0.39,0.47,,,,-0.17,-0.44,0.33,-0.22,,,,,,-1.35,,,,,,,,,,,,0.10,0.23,0.10,0.10,0.10,,0.10,0.20,,,,0.15,0.18,0.11,0.10,,,,,,0.20,,,,,,,,,,,,Pe20,Pe20,Pe20,Pe20,Pe20,,Pe20,Pe20,,,,Pe20,Pe20,R22b,Pe20,,,,,,Pe20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,19445,03:08:25.59,+26:19:51.4,"1,12440873718984E+017",6070,4.40,1.30,-2.15,50,0.10,0.30,0.15,Pe20,6035,4.47,83,0.06,0.37,-2.15,1.56,1.00,0.13,0.82,,0.48,0.44,,,,-0.37,0.11,0.65,0.00,,,,,,-1.26,,,,,,,,,,,,0.10,0.17,0.10,0.10,0.10,,0.10,0.20,,,,0.15,0.20,0.15,0.10,,,,,,0.20,,,,,,,,,,,,Pe20,Pe20,Pe20,Pe20,Pe20,,Pe20,Pe20,,,,Pe20,Pe20,R22b,Pe20,,,,,,Pe20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,108577,12:28:16.86,+12:20:41.1,"3,907872613853E+018",4900,1.10,2.10,-2.20,100,0.30,0.30,0.13,J02a,5148,1.99,94,0.07,0.36,-2.36,,0.35,-0.56,0.23,,,,,-0.69,-1.31,,,,-0.35,-1.24,-1.05,,-0.82,-1.15,-1.48,-1.11,,-0.99,,-1.09,-1.98,-1.10,,,,,0.13,,0.30,0.13,0.10,,,,,0.25,0.25,,,,0.21,0.13,0.14,,0.14,0.14,0.12,0.17,,0.11,,0.11,0.19,0.28,,,,,J02a,,J02b,J02b,J02b,,,,,J02b,J02b,,,,J02b,J02a,J02a,,J02a,J02a,J02a,J02a,,J02a,,J02a,J02a,J02a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD107752,12:22:52.72,+11:36:25.5,"3,90740450107012E+018",4760,1.40,1.90,-2.85,100,0.30,0.30,0.30,Ao17,4894,1.64,92,0.07,0.31,-2.85,,-0.25,-0.86,-0.20,,-0.90,-0.96,,-1.35,,,,,-1.09,-1.83,-1.26,,-1.23,,-2.02,,,,,,,,,,,,0.10,,0.28,0.16,0.16,,0.17,0.21,,0.18,,,,,0.18,0.16,0.16,,0.16,,0.16,,,,,,,,,,,,Ao17,,Ao17,Ao17,Ao17,,Ao17,Ao17,,Ao17,,,,,Ao17,Ao17,Ao17,,Ao17,,Ao17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS,CS,22966-057,23:48:57.75,-29:39:22.8,"2,32781256150249E+018",5300,2.20,1.40,-2.60,100,0.10,0.20,0.10,Sp18,5453,3.38,97,0.08,0.29,-2.62,,0.20,-0.64,-0.06,,-0.15,0.05,,-0.70,,,,,-0.73,-1.20,,,-0.65,,-1.81,,,-1.00,,-1.05,,,,,,,0.10,,0.20,0.20,0.20,,0.20,0.20,,0.20,,,,,0.20,0.20,,,0.20,,0.10,,,0.20,,0.20,,,,,,,Sp18,,Sp18,Sp18,Sp18,,Sp18,Sp18,,Sp18,,,,,Fr07,Fr07,,,Fr07,,Sp18,,,Fr07,,Fr07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,126238,14:25:29.96,-43:38:36.9,"6,10251218956345E+018",4780,1.72,1.60,-1.93,150,0.30,0.20,0.10,Ro12,5028,2.16,93,0.07,0.22,-1.93,,0.98,-0.10,0.74,-0.36,0.18,0.09,-0.65,-0.32,-1.01,,,,-0.03,-0.90,-0.49,-1.08,-0.52,-0.93,-1.19,-0.68,-1.61,-0.60,-1.37,-0.78,-1.60,-0.93,-0.99,-0.38,-0.34,,0.19,,0.24,0.19,0.24,0.20,0.23,0.17,0.38,0.17,0.38,,,,0.21,0.18,0.18,0.21,0.19,0.19,0.20,0.19,0.26,0.18,0.40,0.26,0.20,0.26,0.28,0.41,0.42,,Ro12,,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,,,,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,Ro12,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,2796,00:31:16.91,-16:47:40.8,"2,36745469732788E+018",4950,1.50,2.10,-2.50,100,0.10,0.20,0.10,Sp18,5015,1.80,92,0.07,0.17,-2.47,,0.50,-0.48,0.21,,-0.40,-0.35,,-0.70,,,,,-0.48,-1.40,-0.83,-1.50,-1.10,-1.40,-1.78,-1.40,,-1.32,-2.20,-1.43,,-1.52,,,,,0.10,,0.20,0.20,0.20,,0.20,0.20,,0.20,,,,,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.20,,0.20,0.20,0.20,,0.20,,,,,Sp18,,Sp18,Sp18,Sp18,,Sp18,Sp18,,Sp18,,,,,Fr07,Fr07,Fr07,Fr07,Fr07,Fr07,Sp18,Fr07,,Fr07,Fr07,Fr07,,Fr07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS,CS,29518-051,01:24:10.00,-28:15:21.1,"5,03617189987828E+018",5200,2.60,1.40,-2.70,100,0.10,0.20,0.10,Sp18,5281,2.56,94,0.08,0.15,-2.69,,0.41,-0.51,0.16,,-0.50,-0.70,,-0.90,,,,,-1.01,-2.01,,-1.56,-1.18,,-2.02,,,,,,,,,,,,0.10,,0.20,0.20,0.20,,0.20,0.20,,0.20,,,,,0.20,0.20,,0.20,0.20,,0.10,,,,,,,,,,,,Sp18,,Sp18,Sp18,Sp18,,Sp18,Sp18,,Sp18,,,,,Fr07,Fr07,,Fr07,Fr07,,Sp18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,85773,09:53:39.24,-22:50:08.4,"5,66087870271807E+018",4268,0.87,1.98,-2.62,100,0.30,0.30,0.30,Ao17,4426,0.69,88,0.08,0.02,-2.62,,0.01,-0.86,-0.22,,-0.97,-1.01,,-1.30,,,,,-0.77,-1.75,-1.40,,-1.27,,-2.08,,,,,,,,,,,,0.10,,0.20,0.28,0.19,,0.26,0.28,,0.22,,,,,0.18,0.18,0.19,,0.19,,0.20,,,,,,,,,,,,Ao17,,Ao17,Ao17,Ao17,,Ao17,Ao17,,Ao17,,,,,Ao17,Ao17,Ao17,,Ao17,,Ao17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,128279,14:36:48.51,-29:06:46.6,"6,22184613789096E+018",5080,2.57,1.60,-2.46,150,0.30,0.20,0.10,Ro12,5325,3.12,96,0.07,-0.02,-2.46,0.55,-0.18,-0.89,0.00,-0.88,-0.56,-0.63,,-1.24,,-1.32,,-0.12,-1.03,-1.64,-1.15,,-1.23,-1.50,-1.96,,,-1.35,-1.71,-1.54,-2.24,-1.69,,,,,0.22,0.36,0.19,0.21,0.20,0.27,0.28,0.19,,0.27,,0.40,,0.30,0.18,0.19,0.18,,0.18,0.24,0.18,,,0.20,0.29,0.19,0.21,0.21,,,,,Ro12,Ro14,Ro12,Ro12,Ro12,Ro12,Ro14,Ro12,,Ro12,,Ro14,,Ro14,Ro12,Ro12,Ro12,,Ro12,Ro12,Ro12,,,Ro12,Ro12,Ro12,Ro12,Ro12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,110184,12:40:14.08,+08:31:38.1,"3,71078697993362E+018",4240,0.50,2.21,-2.52,100,0.30,0.30,0.30,Ao17,4346,0.49,88,0.08,-0.03,-2.52,,0.46,-0.76,-0.03,,-0.70,-0.85,,-1.22,,,,,-1.06,-1.73,-1.26,,-1.30,,-2.03,,,,,,,,,,,,0.10,,0.28,0.18,0.21,,0.17,0.21,,0.18,,,,,0.18,0.16,0.16,,0.16,,0.16,,,,,,,,,,,,Ao17,,Ao17,Ao17,Ao17,,Ao17,Ao17,,Ao17,,,,,Ao17,Ao17,Ao17,,Ao17,,Ao17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS,CS,22873-055,19:53:49.78,-59:40:00.2,"6,44694990936004E+018",4550,0.70,2.20,-3.00,100,0.10,0.20,0.10,Sp18,4718,1.57,90,0.09,-0.19,-2.99,,-0.42,-1.28,-0.56,,-1.00,,,-1.30,,,,,-1.31,-2.29,,-2.55,-1.78,,-2.66,-1.90,,-2.09,,-2.30,,,,,,,0.10,,0.20,0.20,0.20,,0.20,,,0.20,,,,,0.20,0.20,,0.20,0.20,,0.10,0.20,,0.20,,0.20,,,,,,,Sp18,,Sp18,Sp18,Sp18,,Sp18,,,Sp18,,,,,Fr07,Fr07,,Fr07,Fr07,,Sp18,Fr07,,Fr07,,Fr07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD,-18째5550,19:58:49.74,-18:12:11.1,"6,86780251906219E+018",4750,1.40,1.80,-3.00,100,0.10,0.20,0.10,Sp18,4876,2.01,92,0.07,-0.22,-3.06,,-1.15,-1.91,-1.17,,-1.50,,,-1.70,,,,,-1.67,,,,-2.02,,-2.76,-2.20,,,-3.00,-2.25,,,,,,,0.10,,0.20,0.20,0.20,,0.20,,,0.20,,,,,0.20,,,,0.20,,0.10,0.20,,,0.20,0.20,,,,,,,Sp18,,Sp18,Sp18,Sp18,,Sp18,,,Sp18,,,,,Fr07,,,,Fr07,,Sp18,Fr07,,,Fr07,Fr07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,140283,15:43:03.10,-10:56:00.6,"6,26877037359015E+018",5750,3.70,1.40,-2.57,50,0.10,0.30,0.15,Pe20,5771,3.63,80,0.06,-0.22,-2.57,0.65,0.07,-0.77,-0.05,,-0.44,,,,,-1.34,-1.06,,-1.09,,,,,,-2.27,,,,,,,,,,,,0.10,0.15,0.10,0.10,0.10,,0.10,,,,,0.15,0.20,,0.13,,,,,,0.20,,,,,,,,,,,,Pe20,Pe20,Pe20,Pe20,Pe20,,Pe20,,,,,Pe20,Pe20,,Pe20,,,,,,Pe20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPS,CS,22873-166,20:19:22.04,-61:30:15.1,"6,43097998400349E+018",4550,0.90,2.10,-3.00,100,0.10,0.20,0.10,Sp18,4599,,89,,-0.32,-2.97,,-0.05,-0.86,-0.17,,-0.70,-1.20,,-1.30,,,,,-1.54,-2.57,-1.73,-2.30,-1.72,,-2.77,,,,,-2.40,,,,,,,0.10,,0.20,0.20,0.20,,0.20,0.20,,0.20,,,,,0.20,0.20,0.20,0.20,0.20,,0.10,,,,,0.20,,,,,,,Sp18,,Sp18,Sp18,Sp18,,Sp18,Sp18,,Sp18,,,,,Fr07,Fr07,Fr07,Fr07,Fr07,,Sp18,,,,,Fr07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,88609,10:14:28.99,+53:33:39.3,"8,51658896305185E+017",4550,1.10,2.40,-3.07,100,0.30,0.50,0.20,Ho07,4617,1.12,88,0.07,-0.33,-3.07,,-0.19,-1.03,-0.20,-1.70,-1.00,-0.91,,-1.35,-2.06,,,,-1.71,-2.75,-2.02,-2.20,-2.11,-2.41,-2.88,-2.83,,-2.85,,-2.79,,-2.94,,,,,0.20,,0.12,0.10,0.16,0.12,0.12,0.12,,0.12,0.12,,,,0.10,0.15,0.18,0.12,0.12,0.12,0.12,0.12,,0.20,,0.20,,0.12,,,,,Ho07,,Ho07,Ho07,Ho07,Ho07,Ho07,Ho07,,Ho07,Ho07,,,,Ho07,Ho07,Ho07,Ho07,Ho07,Ho07,Ho07,Ho07,,Ho07,Ho07,Ho07,,Ho07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD,122563,14:02:31.85,+09:41:09.9,"3,7235542684366E+018",4570,1.10,2.20,-2.77,100,0.30,0.50,0.20,Ho06,4709,1.32,90,0.07,-0.52,-2.77,,-0.10,-0.97,-0.25,-1.46,-0.87,-0.86,,-1.36,-1.91,,,,-1.65,-2.60,-1.91,-2.15,-2.01,-2.16,-2.77,-2.44,,-2.62,,-2.66,,-2.78,,,,,0.19,,0.14,0.09,0.16,0.14,0.14,0.14,,0.14,0.14,,,,0.12,0.16,0.17,0.14,0.16,0.14,0.14,0.14,,0.14,,0.14,,0.14,,,,,Ho06,,Ho07,Ho06,Ho06,Ho06,Ho06,Ho06,,Ho07,Ho06,,,,Ho07,Ho07,Ho07,Ho06,Ho06,Ho06,Ho06,Ho06,,Ho06,,Ho06,,Ho06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
